ID,Name_lang,Quantity,Flags
2,珠宝匠的宝石,3,1
3,治疗石,1,0
4,法力宝石,1,0
6,风暴宝钻,1,1
7,魔化珍珠,1,1
8,禁锢之光,1,1
9,束缚之石,1,1
10,死亡的选择,1,1
11,死亡的裁决,1,1
12,伊崔格的誓约,1,1
13,霜脉矮人的热忱,1,1
14,动荡能量雕像,1,1
15,主宰之力,1,1
16,亡者的统治,1,1
17,死者的统治,1,1
18,萨崔娜的抗阻甲虫,1,1
19,战败者的慰藉,1,1
20,阵亡者的慰藉,1,1
21,动荡能量饰物,1,1
22,被遗忘者的复仇,1,1
23,胜者的召唤,1,1
24,无情侵掠指环,1,0
25,恶行指环,1,1
26,叛君指环,1,0
27,双姝指环,1,1
28,暴虐指环,1,1
29,食肉兽指环,1,1
30,黑暗治愈者指环,1,1
31,火焰风暴指环,1,1
32,火焰风暴之戒,1,1
33,戈莫克的指环,1,1
34,双姝之戒,1,1
35,血红显像之戒,1,1
36,巡界指环,1,1
37,巡界徽记,1,1
38,无情侵掠之戒,1,1
39,无情侵掠之戒,1,1
40,黑暗治愈者之戒,1,1
41,暴戾指环,1,1
42,叛君徽记,1,1
43,Test Ring Limit,1,1
44,阿尔索的算盘,1,1
45,纯血珠饰,1,1
46,镇魂币,1,1
47,死神的意志,1,1
48,被摘除的外物,1,1
49,无名巫妖的护命匣,1,1
50,瓶中的小憎恶,1,1
51,完美之牙,1,1
52,憎恶血戒,1,1
53,腐败徽记,1,1
54,樱红缠丝指环,1,1
55,腐面的破碎指环,1,1
56,萨鲁法尔的寒铸指环,1,1
57,暮光女王的印记,1,1
58,三牙饰物,1,1
59,白骨巨人指环,1,1
60,永冻指环,1,1
61,千口之戒,1,1
62,霜脉蓝玉指环,1,1
63,蛮力指环,1,1
64,无尽迷宫指环,1,1
65,玛洛加尔的寒冰之瞳,1,1
66,玛利苟斯的回忆,1,1
67,凋零之力,1,1
68,狂语之戒,1,1
69,飞升之戒,1,1
70,骷髅领主之环,1,1
71,瓦拉纳的备用徽记之戒,1,1
72,愈合血环,1,1
73,穆拉丁的望远镜,1,1
74,纯冰薄片,1,1
75,未鉴定的器官,1,1
76,密语尖牙颅骨,1,1
77,暮光龙鳞,1,1
78,定相恢复之戒,1,1
79,塞维娅娜的贡品,1,1
80,暮光徽记,1,1
81,萨瑞瑟里安的贡奉,1,1
82,锐锋暮光龙鳞,1,1
83,石化暮光龙鳞,1,1
84,明亮暮光龙鳞,1,1
85,焦黑暮光龙鳞,1,1
86,公会合剂,1,0
89,压顶之力,1,1
90,气旋精华,1,1
91,生命之殒,1,1
92,伊格纳休斯之心,1,1
93,瑟纳利昂之镜,1,1
94,存封记忆之瓶,1,1
95,狂怒鸣响之铃,1,1
96,狂怒之心,1,1
97,古老的愈病药瓶,1,1
98,普瑞斯托的诡计护符,1,1
99,共生之虫,1,1
100,海洋之力,1,1
101,瓷蟹,1,1
102,碧海之星,1,1
103,先驱之握,1,1
104,巫术沙漏,1,1
105,无尽密室之匙,1,1
106,沉重绝望,1,1
107,磁力之镜,1,1
108,血红之泪,1,1
109,黑暗潜藏卷须,1,1
110,雷霆之心,1,1
111,雨歌,1,1
112,抚慰之心,1,1
113,悲歌,1,1
114,提亚的优雅,1,1
115,安努尔之书,1,1
116,伊希斯特的精华,1,1
117,拉夏的左眼,1,1
118,拉夏的右眼,1,1
119,被腐蚀的蛋壳,1,1
120,暗影飓风,1,1
121,卡德罗斯的印记,1,1
122,灰鳞的优雅,1,1
123,索朗格斯的指节,1,1
129,胆汁喷洒机的螺母,1,1
130,炼金石,1,1
132,生命天平,1,1
133,变压脉冲电容器,1,1
134,绝境逢生,1,1
135,饥不择食,1,1
136,卡兹格罗斯的仪器,1,1
137,蛛丝纺锤,1,1
138,巫术聚焦器,1,1
139,炽焰能量之眼,1,1
140,矩阵回稳器,1,1
141,爆焰魔瓶,1,1
142,死缓令,1,1
143,塞斯符文,1,1
145,火焰精粹,1,1
146,上古化石种子,1,1
147,永恒烈焰精华,1,1
148,红焰石,1,1
150,复仇者的徽戒,1,1
151,寡妇蛛之吻,1,1
152,水晶牢笼之戒,1,1
153,奥利瑟拉佐尔指环,1,1
155,晶化硫磺之戒,1,1
158,瑟克的烬石指环,1,1
166,紧急降落指环,1,1
167,创造大师的印戒,1,1
168,复兴指环,1,1
169,果敢印戒,1,1
170,剔肉指环,1,1
171,窒息指轮,1,1
172,石心指环,1,1
173,原始暗影印戒,1,1
174,永恒循环之戒,1,1
175,缝合印戒,1,1
176,贪婪之口印戒,1,1
177,撕裂指轮,1,1
178,蜷曲的暮光之爪,1,1
179,圣光投影,1,1
180,瓶中的愿望,1,1
181,基洛普泰里克的印记,1,1
182,腐败之颅,1,1
183,地渊之烈火,1,1
184,灭世之魔眼,1,1
185,无拘之怒火,1,1
186,不朽者之毅,1,1
187,不羁之意志,1,1
188,不死者之心,1,1
189,末代龙裔之源,1,1
190,移魂漩涡,1,1
191,骨链雕像,1,1
192,暗影之瓶,1,1
193,不屈之傲,1,1
194,残酷者的诡计,1,1
195,临风之心,1,1
196,摘星罗盘,1,1
197,七兆封印,1,1
198,堕落心灵印记,1,1
201,魔古宝藏,1,0
203,珠宝商的宝石,2,1
204,魔宠石,1,0
205,闪耀法力宝石,1,0
206,迷雾暗月卡片,1,1
207,恐惧水晶,1,1
208,群星之瓶,1,1
209,黑雾漩涡,1,1
210,惊怖精华,1,1
211,玉质盗匪俑,1,1
212,玉质御者俑,1,1
213,玉质女乐俑,1,1
214,玉质文官俑,1,1
215,玉质军阀俑,1,1
216,雷神的遗诏,1,1
217,秩序之光,1,1
218,秦希的偏振之印,1,1
219,骄阳之魂,1,1
220,梦魇残片,1,1
221,萦雾之恐,1,1
222,龙血之瓶,1,1
223,爆裂新星指环,1,1
224,弱魂指环,1,1
225,恐惧之影指环,1,1
226,魔封的梦境指环,1,1
227,魔封的封印指环,1,1
228,恐惧化身碎片,1,1
229,受难荆刺指环,1,1
230,睿盖尔的无尽指环,1,1
231,利刃风暴指环,1,1
232,碎甲指环,1,1
233,亵渎之印,1,1
234,大宰相的红玉玺戒,1,1
235,水魂玺戒,1,1
236,金莲教古董,1,1
237,影踪派古董,1,1
238,影踪派古董,1,1
239,闪亮的黑色钻石戒指,1,1
240,坚固的陷阱,1,0
241,统御先锋军的野蛮徽记,1,1
242,神盾守备军的强效徽记,1,1
243,统御先锋军的次级徽记,1,1
244,神盾守备军的次级徽记,1,1
245,神盾守备军的珍宝,1,1
246,统御先锋军的珍宝,1,1
247,挑战卡牌,1,0
249,浸血齿轮,1,1
250,影踪突袭营的珍玩,1,1
251,金罗克的灵魂水晶,1,1
252,沙姆龙指环,1,1
253,金罗克的梦境碎片,1,1
254,杜鲁姆的被俘眼球,1,1
255,刺鳞印戒,1,1
256,血腥之神印戒,1,1
257,杜鲁姆的断裂触须,1,1
258,罗沙克的回忆,1,1
259,鳞甲暴君指环,1,1
260,蛇蜥的石化之眼,1,1
261,邪恶魂能,1,1
262,九头蛇之息,1,1
263,张叶的辉煌精华,1,1
264,嗜血者的精致小瓶,1,1
265,季鹍的传说之羽,1,1
266,赞达拉之韧,1,1
267,双天的凝视,1,1
268,赫利东的垂死之息,1,1
269,九头蛇卵的铭文袋,1,1
270,季鹍的复苏之风,1,1
271,闪电圣杯,1,1
272,普利莫修斯的狂怒护符,1,1
273,雷纳塔基的灵魂符咒,1,1
274,重生符文,1,1
275,灵魂壁障,1,1
276,赞达拉之火,1,1
277,祖达萨的失窃遗物,1,1
278,杀戮护符,1,1
279,雷神的精准之视,1,1
280,乌苏雷的最终抉择,1,1
281,肯瑞托远征军的珍宝,1,1
282,夺日者先锋军的珍宝,1,1
283,影踪突袭营的护身符,1,1
287,善行披风,1,1
288,,1,1
289,,1,1
290,,1,1
291,,1,1
292,,1,1
293,,1,1
294,,1,1
295,雪怒之律,1,1
296,玉珑之噬,1,1
297,赤精之祈,1,1
298,雪怒之捷,1,1
299,砮皂之毅,1,1
300,硬化薄荷指环,1,1
301,迦拉卡斯的熄火余烬,1,1
302,伊约库克的世袭印戒,1,1
303,长恨印戒,1,1
304,愠怒印戒,1,1
305,光雕玺戒,1,1
306,恐龙统领玺戒,1,1
307,悲伤之路玺戒,1,1
308,阿斯苟兰提亚鲜血印戒,1,1
309,遗忘列王印戒,1,1
310,PH,1,1
311,血爪指轮,1,1
312,迦拉克隆控制指环,1,1
313,铁墓指环,1,1
314,魔牙指轮,1,1
315,PH,1,1
316,现实撕裂者指环,1,1
317,迅捷翔龙玺戒,1,1
318,永动之能指环,1,1
319,克尔鲁克的支配指环,1,1
320,既定之天命,1,1
321,伊墨苏斯的净化之缚,1,1
322,纳兹戈林的抛光勋章,1,1
323,融火之核,1,1
324,鲁克的不幸护符,1,1
325,战蝎的聚焦水晶,1,1
326,迦拉卡斯的邪恶之眼,1,1
327,傲慢之棱光囚笼,1,1
328,卡德里斯的剧毒图腾,1,1
329,哈洛姆的护符,1,1
330,暴怒之印,1,1
331,狂怒水晶,1,1
332,索克的酸蚀之牙,1,1
333,索克的尾巴尖,1,1
334,活性腐蚀之瓶,1,1
335,狂妄之诅咒,1,1
336,斯基尔的沁血护符,1,1
337,间歇性变异平衡器,1,1
338,亚煞极的黑暗之血,1,1
339,滴答作响的黑色雷管,1,1
340,黑石坩埚,3,0
341,督军监制,3,1
342,工程学车间物品,1,0
343,要塞水果,5,0
344,附魔师的幻象,1,0
345,大法师指环,1,1
346,军团特制,3,1
347,幽灵海盗指环,1,1
348,豹眼石,1,1
349,恶魔克星,1,1
350,手工圣物,1,1
351,猩红之瓶,3,0
352,逍遥酒,2,0
353,Test Item Limit Category Crafted,3,1
357,“军团再临”传说物品,1,1
358,入侵者指环,1,1
359,入侵者饰品,1,1
360,紫罗兰印戒,1,1
361,猎犬之眼,1,1
362,泰坦之路,1,1
463,海怪之眼,1,1
464,海怪之眼指环,1,1
465,红色打孔卡,1,1
466,黄色打孔卡,1,1
467,蓝色打孔卡,1,1
468,海兽之眼,1,1
469,海兽之眼指环,1,1
471,静谧之瓶,3,0
472,暗月套牌,1,1
473,“暗影国度”传说制品,1,1
474,角斗士的勋章,1,1
481,“暗影国度”制品,1,1
482,鲜血雷弗碎片,1,1
483,鲜血亚斯碎片,1,1
484,鲜血贝克碎片,1,1
486,冰霜克尔碎片,1,1
487,冰霜基尔碎片,1,1
488,冰霜泰尔碎片,1,1
489,邪恶迪兹碎片,1,1
490,邪恶欧兹碎片,1,1
491,邪恶泽德碎片,1,1
492,个人曲调,1,1
493,战斗节奏,1,1
494,波可波克的谐律,1,1
496,开悟者传说物品,1,1
501,拜荒者宝石,1,1
502,守护巨龙雕像,1,1
503,铭文之首,1,1
504,魔法制作的点心,1,0
505,工具套件,1,1
506,头部,1,1
507,附魔法器,1,1
508,背部,1,1
509,放大镜,1,1
510,胸部,1,1
511,手部,1,1
512,美化,2,1
513,背部,1,1
514,胸部,1,1
515,手部,1,1
516,头部,1,1
517,工具套件,1,1
518,背部,1,1
519,胸部,1,1
520,手部,1,1
521,头部,1,1
522,背部,1,1
523,胸部,1,1
524,手部,1,1
525,头部,1,1
526,工具套件,1,1
527,背部,1,1
528,胸部,1,1
529,手部,1,1
530,头部,1,1
531,工具套件,1,1
532,背部,1,1
533,胸部,1,1
534,手部,1,1
535,头部,1,1
536,背部,1,1
537,胸部,1,1
538,手部,1,1
539,头部,1,1
540,背部,1,1
541,胸部,1,1
542,手部,1,1
543,头部,1,1
544,工具套件,1,1
545,背部,1,1
546,胸部,1,1
547,手部,1,1
548,头部,1,1
549,工具套件,1,1
550,背部,1,1
551,胸部,1,1
552,手部,1,1
553,头部,1,1
554,工具套件,1,1
555,背部,1,1
556,胸部,1,1
557,手部,1,1
558,头部,1,1
559,背部,1,1
560,胸部,1,1
561,手部,1,1
562,头部,1,1
563,背部,1,1
564,胸部,1,1
565,手部,1,1
566,头部,1,1
567,工具套件,1,1
568,钴蓝能量之戒,1,1
569,报警炮塔,1,1
570,弧光体征矫正器,1,1
571,奈萨里奥之息,1,1
572,接地线路,1,1
573,位面置换器,1,1
574,极性强化器,1,1
575,超级对撞金刚,1,1
596,魔精水晶,1,0
597,抗腐大锅,1,0
598,飞逝瓶剂,2,0
599,暗影烈焰火箭,1,1
600,地下堡钥石,5,0
607,飞逝合剂,1,0
608,飞逝药水,20,0
614,阿加钻石,1,1
643,原型,1,0
644,脚部,1,1
645,闪电之链,1,1
646,超频自拍神器,1,1
647,土灵送货钻探机,1,1
648,觅心生命注射器,1,1
649,专业技能容器,2,0
650,梭绸鱼线之丝,100,0
651,梭绸鱼线技能之丝,100,0
652,食尸鱼,1,0
653,挚友,1,0
680,虚触,1,1
681,神圣秘典,1,1
682,怨毒文集,1,1
